Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
MRSA6B,"36,00","14,23","2,47","2,816","0,88%","0,963","28,96","9,69","-2,38","11,23","6,20","29,07%","19,79%","1,19","12,32%","17,39%","87,80","4.946.430.000,00","0,81","4,07%"
MRSA5B,"36,00","14,23","2,47","2,816","0,88%","0,963","28,96","9,69","-2,38","11,23","6,20","29,07%","19,79%","1,19","12,32%","17,39%","87,80","4.946.430.000,00","0,81","4,07%"
TMGC11,"900,00","14,26","1,83","1,309","0,00%","1,260","7,62","20,08","13,46","18,75","18,75","6,52%","9,18%","1,69","8,73%","12,83%","0,00","1.167.010.000,00","0,05","10,49%"
MELK3,"3,70","14,34","0,65","1,127","7,66%","0,391","0,70","12,13","0,77","4,09","3,84","9,29%","9,23%","2,69","4,53%","4,56%","1.664.410,00","1.177.750.000,00","0,03","0,00%"
SOND6,"35,51","14,36","1,44","1,216","23,72%","1,007","3,06","15,16","4,51","10,60","8,14","8,02%","8,46%","2,68","9,60%","10,04%","600,20","60.518.000,00","0,00","9,12%"
TNCP4,"182,60","14,42","2,49","3,091","0,00%","1,696","52,65","11,85","-22,30","11,88","8,72","26,08%","21,44%","1,15","16,48%","17,29%","0,00","13.081.500.000,00","0,09","97,79%"
STBP11,"14,40","14,43","1,10","1,839","0,00%","0,523","2,69","8,57","-2,18","6,09","3,77","21,46%","12,75%","3,17","8,19%","7,61%","0,00","2.261.990.000,00","0,18","10,16%"
SOND5,"36,00","14,56","1,46","1,232","23,40%","1,021","3,11","15,37","4,57","10,81","8,30","8,02%","8,46%","2,68","9,60%","10,04%","3.090,59","60.518.000,00","0,00","9,12%"
TNCP3,"184,85","14,59","2,52","3,129","0,00%","1,717","53,30","12,00","-22,58","12,03","8,83","26,08%","21,44%","1,15","16,48%","17,29%","0,00","13.081.500.000,00","0,09","97,79%"
KSSA3,"5,33","14,66","1,40","0,916","0,00%","0,406","1,72","5,62","6,73","12,30","12,30","16,31%","8,42%","1,47","7,67%","9,58%","0,00","553.026.000,00","1,80","40,68%"
BPAC11,"24,08","14,67","2,47","0,000","1,60%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","16,84%","336.104.000,00","37.379.700.000,00","0,00","36,32%"
ELUM4,"47,90","14,79","1,99","1,251","0,00%","1,178","3,07","19,64","3,34","14,90","14,90","6,37%","8,46%","2,02","9,40%","13,47%","0,00","443.231.000,00","0,08","8,40%"
TCOC3,"38,85","14,90","1,80","2,225","0,00%","1,307","3,78","14,48","4,39","12,23","12,23","15,37%","14,93%","2,53","13,98%","12,06%","0,00","2.812.920.000,00","0,04","16,71%"
ODER4,"190,00","14,97","6,05","3,378","1,50%","2,926","9,43","17,91","17,69","19,00","17,78","18,86%","22,56%","1,84","18,80%","40,38%","0,00","354.721.000,00","0,49","18,33%"
LIGH3,"16,66","14,97","0,91","0,479","0,00%","0,280","2,10","7,90","-0,71","16,01","9,66","6,06%","3,20%","1,80","4,26%","6,09%","0,00","7.174.880.000,00","1,26","10,41%"
RDCD3,"35,16","15,07","14,74","7,936","0,00%","0,925","21,14","13,40","22,70","14,25","14,26","59,23%","52,65%","1,05","6,97%","97,78%","0,00","1.605.520.000,00","1,04","12,16%"
WLMM4,"38,80","15,12","2,66","0,816","1,95%","2,170","5,68","12,47","7,19","11,05","10,69","6,54%","5,39%","4,65","24,33%","17,62%","50.956,50","530.316.000,00","0,01","35,45%"
MERC4,"11,10","15,13","0,78","0,000","0,21%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","5,14%","16.610,90","257.129.000,00","0,00","-36,36%"
EQPA3,"6,45","15,16","3,95","1,915","4,81%","1,114","6,96","8,16","-4,11","9,36","7,85","23,48%","12,63%","1,56","18,92%","26,05%","59.254,20","3.607.190.000,00","1,30","8,38%"
RAIZ4,"6,21","15,21","3,14","0,304","0,00%","0,612","7,96","9,18","-1,99","13,83","8,30","3,31%","2,03%","1,18","8,31%","20,66%","58.070.900,00","20.468.800.000,00","1,84","0,00%"
MRSA3B,"38,70","15,30","2,66","3,028","0,00%","1,035","31,14","10,42","-2,56","11,95","6,60","29,07%","19,79%","1,19","12,32%","17,39%","0,00","4.946.430.000,00","0,81","4,07%"
MRSA3B,"38,70","15,30","2,66","3,028","0,00%","1,035","31,14","10,42","-2,56","11,95","6,60","29,07%","19,79%","1,19","12,32%","17,39%","0,00","4.946.430.000,00","0,81","4,07%"
TMGC13,"966,14","15,31","1,96","1,406","0,00%","1,353","8,18","21,56","14,45","20,23","20,23","6,52%","9,18%","1,69","8,73%","12,83%","0,00","1.167.010.000,00","0,05","10,49%"
BEMA3,"10,80","15,32","1,22","1,293","0,00%","0,808","3,18","14,34","11,45","14,43","8,11","9,01%","8,44%","2,66","6,96%","7,95%","0,00","457.342.000,00","0,19","10,58%"
BLAU3,"27,78","15,32","3,05","3,647","0,89%","2,141","3,68","10,74","4,97","9,56","9,14","33,97%","23,70%","4,95","36,02%","19,88%","8.597.260,00","1.636.290.000,00","0,23","22,15%"
VULC4,"18,00","15,40","3,47","2,593","0,00%","2,122","5,86","27,98","7,33","29,37","20,28","9,27%","16,83%","2,15","8,80%","22,53%","0,00","1.274.530.000,00","0,29","1,28%"
HYPE3,"32,37","15,41","2,09","3,453","3,81%","1,035","5,52","10,74","-5,87","13,40","12,53","32,14%","22,41%","2,34","11,09%","13,54%","102.718.000,00","9.826.590.000,00","0,75","11,32%"
BPAN4,"9,97","15,51","2,07","0,000","2,25%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","13,36%","84.017.000,00","5.798.630.000,00","0,00","13,64%"
ENMT3,"81,77","15,51","6,42","2,609","6,71%","1,622","32,10","10,26","-3,43","12,49","10,93","25,44%","16,82%","1,23","17,66%","41,39%","278.489,00","2.788.090.000,00","1,56","13,50%"
ENMT4,"81,79","15,52","6,42","2,610","6,01%","1,622","32,11","10,26","-3,43","12,50","10,93","25,44%","16,82%","1,23","17,66%","41,39%","1.764,95","2.788.090.000,00","1,56","13,50%"
EQPA7,"6,62","15,56","4,05","1,966","4,68%","1,143","7,14","8,37","-4,21","9,57","8,03","23,48%","12,63%","1,56","18,92%","26,05%","80,59","3.607.190.000,00","1,30","8,38%"
MYPK4,"31,79","15,58","1,20","0,383","0,00%","0,339","2,87","5,52","-1,60","10,73","6,45","6,95%","3,33%","1,32","7,74%","7,70%","0,00","4.074.170.000,00","1,38","10,96%"
VIVT4,"45,34","15,65","1,11","1,753","0,00%","0,677","52,52","14,11","-3,81","14,85","4,65","12,42%","11,19%","1,07","5,60%","7,06%","0,00","69.350.500.000,00","0,18","0,29%"
ILMD3,"29,00","15,73","2,63","0,683","0,00%","1,395","5,70","14,13","7,53","13,13","13,13","4,84%","4,92%","1,60","12,52%","16,69%","0,00","658.715.000,00","0,02","0,65%"
ELET5,"64,50","15,76","1,33","3,405","0,00%","0,524","5,44","-28,75","-1,41","-35,79","-76,44","-11,84%","21,84%","1,70","-2,13%","8,44%","0,00","76.128.500.000,00","0,64","-7,43%"
MODL4,"3,52","15,83","1,97","0,000","2,01%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","12,42%","158.273,00","1.260.560.000,00","0,00","237,21%"
BSLI3,"26,66","15,93","3,72","0,000","4,19%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","23,36%","15.291,00","2.601.550.000,00","0,00","1,93%"
CRTP5,"62,10","15,98","1,71","1,748","0,00%","1,127","3,98","14,09","5,88","12,48","12,48","12,40%","10,94%","2,14","12,36%","10,68%","0,00","1.210.570.000,00","0,12","10,11%"
JOPA3,"25,00","16,02","0,48","0,141","3,42%","0,121","0,33","4,50","3,40","11,87","9,21","3,13%","1,26%","2,12","4,13%","3,01%","1.268,37","547.682.000,00","1,95","15,08%"
SOND3,"40,20","16,26","1,63","1,376","19,05%","1,140","3,47","17,16","5,11","12,60","9,68","8,02%","8,46%","2,68","9,60%","10,04%","0,00","60.518.000,00","0,00","9,12%"
ILMD4,"30,00","16,28","2,72","0,707","0,00%","1,443","5,89","14,62","7,79","13,62","13,62","4,84%","4,92%","1,60","12,52%","16,69%","0,00","658.715.000,00","0,02","0,65%"
DURA4,"31,39","16,35","2,22","2,182","0,00%","1,224","17,24","10,12","-10,49","11,47","11,47","21,56%","13,39%","1,27","14,38%","13,59%","0,00","1.789.980.000,00","0,52","10,94%"
ODPV3,"11,88","16,59","5,66","3,426","3,97%","3,264","-678,11","10,74","-27,43","10,18","9,27","31,89%","20,70%","0,98","37,28%","34,09%","22.556.000,00","1.115.800.000,00","0,00","6,18%"
DURA3,"31,90","16,62","2,26","2,218","0,00%","1,244","17,52","10,29","-10,66","11,64","11,64","21,56%","13,39%","1,27","14,38%","13,59%","0,00","1.789.980.000,00","0,52","10,94%"
DPPI3,"85,00","16,65","4,99","-1,453","0,00%","3,753","8,70","190,72","9,75","177,18","177,18","-0,76%","-5,04%","3,14","3,00%","29,97%","0,00","545.227.000,00","0,06","15,14%"
VIVT3,"48,64","16,79","1,19","1,881","7,16%","0,726","56,35","15,14","-4,08","15,87","4,98","12,42%","11,19%","1,07","5,60%","7,06%","89.532.600,00","69.350.500.000,00","0,18","0,29%"
GMAT3,"5,71","16,84","2,04","0,837","0,00%","1,370","2,72","13,41","3,86","13,82","10,93","6,24%","5,00%","3,96","13,05%","12,09%","23.868.200,00","6.197.320.000,00","0,22","0,00%"
MODL11,"11,38","17,06","2,12","0,000","1,87%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","12,42%","13.626.400,00","1.260.560.000,00","0,00","237,21%"
IGTA3,"33,13","17,11","1,72","8,054","0,86%","0,829","4,04","20,51","-3,11","26,96","17,52","39,26%","47,20%","5,62","5,11%","10,06%","0,00","3.398.580.000,00","0,97","1,01%"
TIMP3,"13,46","17,13","1,43","1,903","0,00%","0,818","15,37","9,79","-3,78","9,72","3,77","19,44%","11,11%","1,34","9,67%","8,33%","0,00","22.847.800.000,00","0,14","2,29%"
EQPA5,"7,30","17,16","4,47","2,168","4,25%","1,260","7,88","9,23","-4,65","10,43","8,75","23,48%","12,63%","1,56","18,92%","26,05%","264,66","3.607.190.000,00","1,30","8,38%"
BMTO4,"7,57","17,27","2,07","0,000","0,00%","2,030","0,00","-2.625,16","0,00","-2.624,05","-1.477,48","0,00%","0,00%","0,00","0,00%","12,00%","0,00","1.046.320.000,00","0,00","0,00%"
ABEV3,"13,93","17,31","2,65","3,010","4,33%","1,582","-916,63","14,29","-13,74","13,28","9,96","21,07%","18,01%","0,99","15,96%","15,33%","387.310.000,00","82.643.000.000,00","0,04","10,40%"
BFIT4,"0,93","17,55","1,96","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","11,15%","0,00","1.849.420.000,00","0,00","35,67%"
BMTO3,"7,82","17,84","2,14","0,000","0,00%","2,097","0,00","-2.711,85","0,00","-2.710,74","-1.526,30","0,00%","0,00%","0,00","0,00%","12,00%","0,00","1.046.320.000,00","0,00","0,00%"
BOAS3,"4,75","17,85","1,26","3,525","1,83%","0,977","2,06","15,75","3,06","8,74","4,30","22,39%","19,75%","7,70","12,19%","7,06%","6.791.800,00","2.001.970.000,00","0,05","12,81%"
UCOP4,"6,50","18,01","1,30","19,050","0,00%","0,844","5,14","22,70","-8,61","24,17","41,56","83,92%","110,51%","13,37","3,91%","7,23%","0,00","972.713.000,00","0,16","9,25%"
LJQQ3,"7,61","18,27","2,68","0,723","1,86%","0,546","1,85","7,29","-4,84","6,53","4,69","9,91%","3,95%","1,76","11,00%","14,69%","27.241.900,00","530.972.000,00","0,56","0,00%"
UGPA3,"13,94","18,28","1,54","0,142","1,43%","0,398","1,26","10,32","-4,42","19,37","12,06","1,37%","0,81%","1,98","5,17%","8,45%","100.259.000,00","10.066.900.000,00","1,76","5,36%"
BFIT3,"0,98","18,49","2,06","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","11,15%","0,00","1.849.420.000,00","0,00","35,67%"
BRGE7,"5,40","18,55","0,32","91,654","8,13%","0,129","0,34","-0,73","0,80","1,93","1,94","-12.515,70%","545,01%","2,80","-33,35%","1,72%","0,00","1.249.660.000,00","0,00","-29,81%"
BMOB3,"13,78","18,56","1,23","4,190","0,00%","1,073","1,74","13,33","1,91","6,63","4,59","31,43%","22,57%","10,19","18,92%","6,61%","12.840.000,00","1.021.590.000,00","0,00","0,00%"
TMCP3,"56,00","18,58","1,38","1,525","0,00%","0,937","3,85","24,25","4,74","19,68","19,68","6,29%","9,75%","2,30","5,54%","7,44%","0,00","1.798.930.000,00","0,03","10,49%"
ESTC11,"23,50","18,64","0,72","0,563","0,00%","0,244","4,72","5,55","-0,68","13,06","5,09","10,13%","3,02%","1,21","5,60%","3,88%","0,00","3.346.510.000,00","1,54","5,65%"
PRIO3,"28,20","18,67","3,76","5,662","0,00%","2,037","4,96","11,33","49,28","10,99","7,87","49,98%","30,32%","5,62","30,19%","20,14%","585.456.000,00","6.620.250.000,00","0,59","65,27%"
B3SA3,"14,44","18,73","3,92","8,583","5,77%","1,614","8,89","13,59","-13,37","12,05","10,35","63,16%","45,83%","1,64","21,23%","20,92%","604.571.000,00","22.580.300.000,00","0,62","33,84%"
GPAR3,"40,51","18,84","2,05","15,092","1,25%","1,492","8,76","16,66","-23,99","15,92","15,92","90,60%","80,10%","5,32","10,12%","10,88%","401,29","1.539.700.000,00","0,06","-1,91%"
WEGE4,"16,10","18,84","4,97","2,868","0,00%","2,824","8,43","15,53","11,22","15,20","13,58","18,47%","15,52%","2,01","23,40%","26,36%","0,00","13.605.000.000,00","0,13","24,48%"
SMLE3,"92,82","18,88","21,91","6,635","0,00%","6,477","-124,00","16,50","-42,31","16,32","13,20","40,22%","35,14%","0,91","46,17%","116,04%","0,00","524.731.000,00","0,00","36,83%"
TMCP4,"58,20","19,31","1,44","1,585","0,00%","0,973","4,00","25,21","4,92","20,63","20,63","6,29%","9,75%","2,30","5,54%","7,44%","0,00","1.798.930.000,00","0,03","10,49%"
MODL3,"4,35","19,56","2,43","0,000","1,63%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","12,42%","103.667,00","1.260.560.000,00","0,00","237,21%"
RENT3,"53,21","19,75","5,30","3,702","0,83%","1,594","20,61","12,52","-3,75","14,82","12,93","29,57%","18,75%","1,39","17,67%","26,83%","376.072.000,00","7.617.090.000,00","1,63","15,51%"
VITT3,"13,90","19,89","4,39","2,815","0,70%","2,172","7,31","14,27","9,07","15,26","14,26","19,74%","14,36%","1,67","19,67%","22,05%","2.227.520,00","453.438.000,00","0,64","0,00%"
AUTM3,"19,70","20,00","1,90","0,709","0,00%","0,547","4,08","6,78","-2,42","8,22","8,99","10,47%","4,31%","1,48","11,93%","9,50%","0,00","1.304.250.000,00","0,97","28,21%"
AEDU11,"37,35","20,13","1,13","1,405","0,00%","0,732","5,77","13,93","-7,31","16,14","10,82","10,08%","6,98%","2,04","5,77%","5,60%","0,00","2.415.400.000,00","0,30","20,90%"
BMGB11,"33,60","20,25","1,27","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","6,26%","0,00","3.862.850.000,00","0,00","4,86%"
RPAD6,"4,63","20,25","0,38","0,000","0,00%","0,374","6,46","-107,07","6,47","-88,12","-88,12","0,00%","0,00%","7,26","-0,37%","1,86%","4.343,02","1.038.890.000,00","0,00","-30,32%"
JPSA3,"29,02","20,27","1,93","4,667","0,29%","0,468","2,34","12,96","-1,68","20,35","12,83","36,02%","46,31%","5,31","4,56%","9,51%","7.666.510,00","1.762.140.000,00","1,94","1,01%"
EGIE3,"39,47","20,59","4,06","2,568","6,51%","0,845","11,74","5,77","-1,49","8,45","7,12","44,51%","12,48%","1,47","17,28%","19,72%","52.316.800,00","7.929.010.000,00","2,54","16,13%"
ALPA3,"21,12","20,92","4,25","3,654","1,59%","1,796","-13,52","21,29","-10,76","20,59","17,26","17,16%","17,54%","0,75","9,96%","20,31%","111.058,00","3.395.640.000,00","0,03","-0,31%"
LAME4,"6,55","20,99","1,89","0,476","0,00%","0,282","1,19","7,32","-4,32","11,24","5,46","6,51%","2,51%","1,72","6,53%","9,02%","36.117.700,00","6.514.640.000,00","2,54","9,72%"
CSED3,"4,70","21,02","1,24","0,994","3,20%","0,376","2,40","6,17","-0,89","6,40","3,83","16,11%","4,73%","2,31","8,04%","5,89%","5.503.540,00","1.448.400.000,00","0,81","0,00%"
RDNI3,"9,30","21,12","0,65","1,069","0,11%","0,225","0,92","77,77","-1,27","169,81","86,02","1,37%","6,99%","2,08","0,30%","3,09%","265.175,00","624.005.000,00","0,84","9,84%"
LAME3,"6,62","21,22","1,91","0,481","0,00%","0,285","1,20","7,40","-4,37","11,32","5,49","6,51%","2,51%","1,72","6,53%","9,02%","6.179.760,00","6.514.640.000,00","2,54","9,72%"
BALM3,"16,96","22,03","1,39","1,161","2,00%","0,765","1,86","11,35","3,08","10,20","8,29","10,23%","4,31%","2,57","8,74%","6,31%","776,05","119.668.000,00","0,20","8,74%"
AGXY3,"11,82","22,22","1,48","0,354","0,00%","0,338","3,11","11,60","50,01","15,93","11,10","3,05%","1,42%","1,16","6,00%","6,66%","1.327.110,00","1.364.840.000,00","0,98","0,00%"
CRTP3,"86,50","22,26","2,38","2,435","0,00%","1,570","5,55","19,63","8,19","18,02","18,02","12,40%","10,94%","2,14","12,36%","10,68%","0,00","1.210.570.000,00","0,12","10,11%"
JOPA4,"35,00","22,43","0,68","0,197","2,69%","0,169","0,46","6,30","4,76","13,67","10,61","3,13%","1,26%","2,12","4,13%","3,01%","85,37","547.682.000,00","1,95","15,08%"
BSCT6,"2,58","22,49","2,04","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","9,05%","0,00","212.960.000,00","0,00","1,92%"
PCAR5,"67,12","22,55","1,32","0,353","0,00%","0,366","13,68","5,03","-1,19","5,24","3,30","7,01%","1,87%","1,08","11,57%","5,88%","0,00","13.649.000.000,00","0,66","3,20%"
RSIP3,"0,44","22,70","1,32","0,875","0,00%","0,433","-10,98","9,53","-1,46","18,48","33,21","9,17%","3,85%","0,90","5,00%","5,80%","0,00","66.914.000,00","1,40","15,13%"
RSIP4,"0,44","22,70","1,32","0,875","0,00%","0,433","-10,98","9,53","-1,46","18,48","33,21","9,17%","3,85%","0,90","5,00%","5,80%","0,00","66.914.000,00","1,40","15,13%"
SBFG3,"20,92","22,70","2,32","1,125","0,00%","0,714","3,06","16,86","-4,97","22,78","11,35","6,67%","4,95%","1,74","5,28%","10,23%","26.410.100,00","2.189.360.000,00","1,07","66,70%"
VIVA3,"26,06","23,27","4,58","4,877","1,26%","2,598","7,37","20,51","16,43","19,93","16,34","23,78%","20,96%","2,48","17,64%","19,70%","29.527.700,00","1.342.840.000,00","0,22","27,01%"
TVIT3,"19,30","23,46","5,45","1,705","0,00%","2,424","175,42","16,02","-12,72","17,14","17,14","10,64%","7,27%","1,04","17,58%","23,24%","0,00","314.984.000,00","0,56","0,00%"
MTRE3,"5,40","23,49","0,58","0,995","10,46%","0,360","0,68","12,33","0,91","9,16","8,27","8,07%","4,77%","3,27","3,57%","2,46%","3.915.020,00","987.810.000,00","0,11","53,69%"
TMGC3,"1.500,00","23,77","3,05","2,182","0,00%","2,101","12,70","33,47","22,43","32,14","32,14","6,52%","9,18%","1,69","8,73%","12,83%","0,00","1.167.010.000,00","0,05","10,49%"
POWE3,"10,91","23,94","0,99","0,619","0,49%","0,379","6,58","17,62","-3,01","10,65","10,03","3,51%","2,59%","1,13","3,54%","4,13%","2.679.800,00","988.330.000,00","0,04","0,00%"
TSEP4,"29,01","23,97","1,30","1,282","0,00%","0,906","3,80","14,82","4,43","12,29","12,29","8,65%","5,35%","1,88","9,10%","5,43%","0,00","2.047.020.000,00","0,00","4,50%"
BRGE12,"6,99","24,01","0,41","118,642","0,01%","0,167","0,44","-0,95","1,04","1,72","1,72","-12.515,70%","545,01%","2,80","-33,35%","1,72%","514,27","1.249.660.000,00","0,00","-29,81%"
PCAR4,"72,11","24,22","1,42","0,379","0,00%","0,393","14,69","5,40","-1,28","5,62","3,54","7,01%","1,87%","1,08","11,57%","5,88%","0,00","13.649.000.000,00","0,66","3,20%"
MILS3,"6,42","24,37","1,49","2,427","2,92%","1,114","4,00","14,31","7,63","13,37","5,85","16,96%","9,95%","3,38","10,47%","6,11%","7.059.550,00","1.088.030.000,00","0,20","26,39%"
ELEK3,"19,11","24,46","2,66","0,619","0,34%","1,067","3,75","52,11","-110,34","65,77","26,15","1,19%","2,53%","1,94","2,52%","10,87%","0,00","226.327.000,00","0,99","5,69%"
ALPA4,"24,71","24,48","4,97","4,275","1,49%","2,101","-15,82","24,91","-12,59","24,21","20,29","17,16%","17,54%","0,75","9,96%","20,31%","120.044.000,00","3.395.640.000,00","0,03","-0,31%"
MAGS3,"62,45","24,49","3,13","2,217","0,00%","2,120","4,90","15,02","6,65","14,19","14,19","14,76%","8,91%","3,06","18,74%","12,78%","0,00","848.546.000,00","0,13","10,05%"
PNVL3,"12,86","24,51","1,88","0,617","1,36%","0,858","3,08","25,54","21,49","31,94","10,83","2,41%","2,52%","1,91","4,42%","7,67%","7.185.610,00","1.029.350.000,00","0,67","9,09%"
BMIN4,"17,33","24,77","0,65","0,000","3,17%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","2,62%","35.869,80","128.621.000,00","0,00","-7,00%"
EQPA6,"10,68","25,10","6,54","3,171","2,90%","1,844","11,52","13,51","-6,80","14,71","12,34","23,48%","12,63%","1,56","18,92%","26,05%","0,00","3.607.190.000,00","1,30","8,38%"
CRUZ3,"27,59","25,31","22,46","6,614","0,00%","7,185","62,03","20,74","124,93","20,75","19,27","31,89%","26,13%","1,19","46,80%","88,76%","0,00","1.877.350.000,00","0,63","3,04%"
CEPE3,"128,00","25,40","5,21","1,124","0,00%","0,735","17,59","8,59","-1,37","14,00","10,65","13,09%","4,42%","1,15","9,85%","20,52%","0,00","1.832.000.000,00","3,66","12,05%"
IGTI3,"2,33","25,71","2,44","5,920","0,23%","0,594","2,97","16,44","-2,13","23,83","15,02","36,02%","46,31%","5,31","4,56%","9,51%","1.468.740,00","1.762.140.000,00","1,94","1,01%"
TFCO4,"10,20","25,86","6,63","4,028","5,81%","3,873","7,13","20,13","10,80","20,31","19,59","20,01%","15,57%","3,35","25,27%","25,65%","2.934.560,00","245.575.000,00","0,32","0,00%"
TNLP4,"20,36","25,96","0,71","0,344","0,00%","0,125","1,29","3,40","-0,33","9,07","9,07","10,12%","-0,07%","1,48","4,58%","2,72%","0,00","13.736.000.000,00","2,02","15,39%"
BRGE3,"7,56","25,97","0,45","128,316","0,01%","0,181","0,48","-1,03","1,12","1,64","1,65","-12.515,70%","545,01%","2,80","-33,35%","1,72%","1.547,56","1.249.660.000,00","0,00","-29,81%"
HGTX4,"9,60","26,11","0,92","1,070","0,00%","0,635","1,92","27,10","2,54","28,00","11,15","3,95%","4,10%","2,47","3,00%","3,51%","0,00","1.704.940.000,00","0,12","-4,62%"
BPAC3,"14,29","26,12","4,40","0,000","0,90%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","16,84%","248.879,00","37.379.700.000,00","0,00","36,32%"
BRGE11,"7,71","26,48","0,45","130,862","4,88%","0,185","0,49","-1,05","1,15","1,62","1,63","-12.515,70%","545,01%","2,80","-33,35%","1,72%","106,78","1.249.660.000,00","0,00","-29,81%"
VAMO3,"10,93","26,54","4,04","3,782","1,79%","1,048","2,90","14,16","-3,99","17,16","12,32","26,71%","14,25%","4,09","13,49%","15,24%","32.850.600,00","2.640.190.000,00","2,31","1.030,06%"
AMBV4,"86,80","26,59","8,74","8,027","0,00%","5,253","144,02","20,54","-37,72","20,36","18,35","39,08%","30,76%","1,18","32,43%","32,88%","0,00","31.105.700.000,00","0,10","21,73%"
AMBV3,"87,00","26,65","8,76","8,045","0,00%","5,266","144,35","20,59","-37,80","20,41","18,39","39,08%","30,76%","1,18","32,43%","32,88%","0,00","31.105.700.000,00","0,10","21,73%"
PGMN3,"10,91","26,76","2,33","0,653","0,00%","0,811","4,65","12,34","-6,07","13,49","8,08","5,29%","2,44%","1,51","8,80%","8,71%","7.537.930,00","2.077.700.000,00","0,37","6,28%"
ARZZ3,"77,66","26,87","5,51","3,444","1,08%","2,728","20,08","30,25","-104,50","31,21","23,27","11,39%","12,80%","1,40","11,89%","20,52%","88.537.700,00","1.546.530.000,00","0,37","12,63%"
BMKS3,"245,00","27,08","0,59","5,713","3,24%","0,522","0,69","-51,49","0,78","11,50","157,53","-11,10%","21,10%","37,44","-2,97%","2,16%","5.518,71","190.364.000,00","0,01","8,71%"
RPSA4,"4,90","27,33","1,55","5,697","0,00%","0,805","5,09","107,53","-4,50","137,55","137,55","5,30%","20,85%","2,09","0,85%","5,69%","0,00","1.167.980.000,00","0,61","-14,23%"
AMBP3,"32,77","27,34","3,15","2,534","0,29%","0,785","4,93","15,17","-2,13","21,46","13,80","16,70%","9,78%","1,82","6,76%","11,51%","25.115.000,00","1.176.380.000,00","2,13","0,00%"
MULT3,"21,06","27,92","1,99","9,820","2,34%","1,187","26,53","17,48","-4,58","20,58","16,11","56,19%","35,14%","1,45","7,43%","7,12%","140.119.000,00","6.360.380.000,00","0,48","0,89%"
SEBB11,"23,27","28,01","6,44","2,214","0,00%","5,279","24,65","23,96","28,94","23,73","23,73","9,24%","7,40%","2,44","24,15%","23,01%","0,00","145.783.000,00","0,01","50,04%"
LUXM4,"81,95","28,15","4,16","3,465","1,96%","2,674","21,87","21,38","-30,37","20,91","11,84","16,20%","12,31%","1,83","15,72%","14,79%","131.211,00","102.314.000,00","0,19","2,99%"
RPAD3,"6,44","28,17","0,52","0,000","0,00%","0,520","8,99","-148,92","9,01","-129,98","-129,98","0,00%","0,00%","7,26","-0,37%","1,86%","4.672,95","1.038.890.000,00","0,00","-30,32%"
BMIN3,"20,00","28,58","0,75","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","2,62%","1.494,54","128.621.000,00","0,00","-7,00%"
ELCA4,"20,20","28,61","11,50","2,914","0,00%","1,770","23,41","13,87","-3,61","16,36","13,52","21,00%","13,89%","1,35","14,70%","40,20%","0,00","3.706.950.000,00","2,48","11,65%"
INTB3,"31,87","28,65","5,49","3,382","0,52%","2,936","6,19","28,20","7,92","26,88","24,22","11,99%","11,77%","2,33","21,28%","19,18%","37.962.500,00","1.900.430.000,00","0,24","34,84%"
LIPR3,"63,00","28,96","3,59","0,000","3,21%","3,100","12,10","-125,84","13,93","-112,08","-112,15","0,00%","0,00%","3,51","-3,73%","12,39%","14.121,70","206.596.000,00","0,00","0,00%"
NGRD3,"2,56","29,53","1,29","2,583","0,49%","0,788","2,42","18,57","6,97","11,64","7,63","13,91%","8,75%","2,83","7,46%","4,37%","3.966.070,00","472.893.000,00","0,20","0,00%"
MOSI3,"7,55","29,58","1,43","4,362","0,01%","1,331","1,73","82,18","1,74","35,47","20,55","5,31%","14,75%","13,30","8,12%","4,82%","4.801.620,00","670.337.000,00","0,00","0,00%"
