Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
PFRM3,"4,63","6,04","0,52","0,092","5,84%","0,149","0,62","2,46","5,94","4,38","2,91","3,76%","1,57%","1,60","8,95%","8,54%","419.514,00","1.111.030.000,00","0,57","10,84%"
POMO3,"2,35","6,07","0,77","0,636","4,55%","0,334","1,66","-53,44","-6,72","-77,42","50,50","-1,19%","10,24%","1,66","-0,85%","12,62%","737.908,00","2.905.000.000,00","0,80","2,39%"
TIET11,"17,44","6,09","3,13","3,010","0,00%","0,638","1.434,52","5,02","-1,05","8,78","6,62","59,93%","49,91%","1,00","13,97%","51,45%","0,00","2.222.740.000,00","2,67","7,76%"
TIET3,"3,49","6,09","3,13","3,012","0,00%","0,638","1.435,34","5,03","-1,05","8,78","6,63","59,93%","49,91%","1,00","13,97%","51,45%","0,00","2.222.740.000,00","2,67","7,76%"
ABCB4,"15,42","6,09","0,75","0,000","5,94%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","12,25%","15.151.300,00","4.669.460.000,00","0,00","-6,04%"
PATI3,"74,80","6,10","2,10","0,671","2,42%","0,899","1,50","5,13","3,06","5,56","5,40","13,07%","10,99%","3,26","31,60%","34,34%","2.023,46","854.351.000,00","0,88","30,64%"
CEEB5,"39,00","6,12","1,66","0,717","0,00%","0,419","16,15","3,44","-0,81","7,04","5,74","20,84%","11,70%","1,13","13,25%","27,02%","0,00","6.176.000.000,00","1,85","14,14%"
TIET4,"3,51","6,13","3,15","3,029","0,00%","0,642","1.443,57","5,06","-1,05","8,81","6,65","59,93%","49,91%","1,00","13,97%","51,45%","0,00","2.222.740.000,00","2,67","7,76%"
BMEB4,"10,80","6,14","1,01","0,000","4,78%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","16,41%","87.106,90","1.124.490.000,00","0,00","15,11%"
WIZS3,"7,10","6,22","2,90","1,298","8,58%","0,930","3,42","2,95","-6,28","2,15","1,95","44,05%","22,63%","2,12","58,73%","46,65%","12.999.400,00","391.028.000,00","0,57","14,81%"
ENGI11,"41,83","6,23","1,74","0,593","9,44%","0,294","4,97","3,37","-0,54","7,06","5,53","17,58%","10,46%","1,28","10,12%","27,84%","80.701.600,00","8.748.260.000,00","2,40","16,79%"
TBLE5,"12,00","6,26","1,23","0,781","0,00%","0,257","3,57","1,75","-0,45","4,44","3,74","44,51%","12,48%","1,47","17,28%","19,72%","0,00","7.929.010.000,00","2,54","16,13%"
BEES3,"4,97","6,27","0,83","0,000","6,95%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","13,26%","100.076,00","1.889.670.000,00","0,00","6,11%"
LEVE3,"26,66","6,37","1,99","0,991","3,46%","1,172","4,17","5,06","8,25","4,98","4,33","19,58%","15,59%","2,03","29,23%","31,22%","8.578.510,00","1.719.860.000,00","0,14","7,79%"
PTBL3,"8,47","6,37","3,35","0,694","12,17%","0,562","4,56","4,11","-1,55","5,72","4,61","16,89%","10,89%","1,36","18,48%","52,51%","7.812.460,00","373.390.000,00","2,20","14,03%"
TAEE3,"13,70","6,40","2,12","4,078","10,96%","0,891","19,72","5,31","-2,00","7,71","7,65","76,83%","63,76%","1,51","17,34%","33,12%","1.011.870,00","6.684.760.000,00","1,02","36,61%"
TAEE4,"13,71","6,40","2,12","4,081","10,95%","0,891","19,73","5,31","-2,00","7,72","7,65","76,83%","63,76%","1,51","17,34%","33,12%","2.131.700,00","6.684.760.000,00","1,02","36,61%"
TAEE11,"41,32","6,43","2,13","4,100","10,90%","0,896","19,82","5,34","-2,01","7,74","7,68","76,83%","63,76%","1,51","17,34%","33,12%","98.594.900,00","6.684.760.000,00","1,02","36,61%"
CTSA3,"1,97","6,45","0,68","0,362","0,00%","0,314","11,95","8,16","-2,28","15,26","10,44","4,44%","5,61%","1,07","4,57%","10,61%","360.506,00","320.486.000,00","0,66","8,24%"
MTSA4,"36,97","6,45","1,09","0,629","6,11%","0,741","1,51","4,76","1,59","4,68","4,18","13,19%","9,74%","2,67","19,64%","16,87%","110.470,00","310.469.000,00","0,18","21,18%"
EKTR4,"27,48","6,48","1,65","0,626","11,68%","0,499","4,65","3,57","-1,39","6,51","5,42","17,53%","9,66%","1,47","15,96%","25,42%","7.734,51","3.234.000.000,00","1,55","8,88%"
EMAE4,"43,60","6,49","2,00","3,240","4,26%","1,024","3,92","8,96","-6,99","7,32","7,09","36,14%","49,92%","4,29","14,19%","30,76%","605.512,00","807.010.000,00","0,00","28,11%"
ENAT3,"19,51","6,55","1,50","3,973","0,99%","0,895","2,53","14,17","9,36","10,05","3,61","28,03%","60,67%","3,47","11,35%","22,84%","23.070.900,00","3.467.240.000,00","0,26","30,68%"
BMGB4,"2,73","6,58","0,41","0,000","11,56%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","6,26%","3.072.780,00","3.862.850.000,00","0,00","4,86%"
CIQU3,"12,49","6,63","1,05","0,413","0,00%","0,515","3,33","4,25","7,55","7,50","5,23","9,72%","6,22%","1,36","12,70%","15,87%","0,00","296.175.000,00","0,84","16,23%"
CIQU4,"12,49","6,63","1,05","0,413","0,00%","0,515","3,33","4,25","7,55","7,50","5,23","9,72%","6,22%","1,36","12,70%","15,87%","0,00","296.175.000,00","0,84","16,23%"
MOVI3,"15,05","6,65","1,66","1,023","2,19%","0,251","1,01","3,04","-0,59","6,92","5,62","33,69%","15,37%","2,44","15,47%","24,95%","42.831.800,00","3.284.470.000,00","4,50","22,34%"
ALUP3,"8,45","6,66","1,13","1,419","3,31%","0,289","3,80","2,01","-0,66","4,21","4,06","70,70%","40,56%","1,80","15,69%","17,03%","77.690,20","6.551.240.000,00","1,54","43,78%"
ALUP11,"25,42","6,68","1,14","1,423","3,30%","0,290","3,81","2,01","-0,66","4,22","4,06","70,70%","40,56%","1,80","15,69%","17,03%","18.149.300,00","6.551.240.000,00","1,54","43,78%"
ALUP4,"8,48","6,68","1,14","1,424","3,30%","0,290","3,82","2,01","-0,66","4,22","4,07","70,70%","40,56%","1,80","15,69%","17,03%","105.383,00","6.551.240.000,00","1,54","43,78%"
FESA4,"49,00","6,73","1,83","1,811","1,85%","1,274","4,67","5,16","11,52","4,93","4,15","35,10%","26,91%","2,95","31,25%","27,13%","19.541.100,00","2.369.220.000,00","0,17","18,49%"
POMO4,"2,62","6,77","0,85","0,709","4,08%","0,373","1,85","-59,58","-7,49","-83,56","54,50","-1,19%","10,24%","1,66","-0,85%","12,62%","17.552.900,00","2.905.000.000,00","0,80","2,39%"
BEES4,"5,38","6,78","0,90","0,000","6,42%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","13,26%","16.290,50","1.889.670.000,00","0,00","6,11%"
MDNE3,"6,11","6,82","0,49","0,777","0,00%","0,211","0,98","6,24","-1,71","5,61","5,27","12,46%","11,88%","1,93","3,72%","7,16%","1.784.330,00","1.062.900.000,00","0,13","2,53%"
CSAN3,"22,31","6,83","2,84","1,679","2,82%","0,427","2,92","11,71","-1,00","20,89","12,88","14,33%","25,50%","2,11","4,55%","41,54%","161.244.000,00","14.740.900.000,00","3,32","30,04%"
CAMB3,"4,50","6,92","1,52","0,792","0,00%","0,597","19,71","4,19","-3,09","6,21","5,37","18,92%","11,49%","1,08","15,62%","21,91%","140.192,00","125.424.000,00","0,78","-5,95%"
CMIG3,"17,20","7,07","1,44","0,944","6,84%","0,548","10,54","5,69","-1,49","7,29","6,08","16,58%","13,36%","1,26","10,98%","20,34%","6.286.910,00","20.262.200.000,00","0,56","9,89%"
FESA3,"52,00","7,14","1,94","1,922","1,58%","1,352","4,95","5,48","12,23","5,24","4,41","35,10%","26,91%","2,95","31,25%","27,13%","14.319,10","2.369.220.000,00","0,17","18,49%"
ITSA4,"9,87","7,14","1,32","10,669","4,76%","1,014","22,10","64,05","-13,01","66,61","43,52","16,66%","162,68%","1,68","1,72%","18,52%","267.072.000,00","65.886.000.000,00","0,13","11,45%"
BPAR3,"182,07","7,19","1,06","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","14,72%","0,00","1.638.700.000,00","0,00","3,79%"
BMEB3,"12,68","7,21","1,18","0,000","3,70%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","16,41%","1.426,17","1.124.490.000,00","0,00","15,11%"
RSUL4,"60,90","7,23","5,27","1,203","0,00%","1,268","8,28","6,12","-4,11","6,13","5,59","19,65%","16,64%","1,51","23,78%","72,96%","270.768,00","67.340.000,00","0,23","22,89%"
SANB3,"14,48","7,24","0,00","0,000","11,15%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","1.791.960,00","0,00","0,00","6,83%"
ITSA3,"10,04","7,27","1,35","10,853","4,68%","1,031","22,48","65,15","-13,23","67,71","44,24","16,66%","162,68%","1,68","1,72%","18,52%","2.262.840,00","65.886.000.000,00","0,13","11,45%"
CGAS5,"116,25","7,27","13,94","1,316","10,48%","1,255","-39,54","6,03","-2,20","8,41","7,18","21,80%","18,10%","0,91","26,29%","191,74%","761.319,00","1.105.220.000,00","6,29","18,45%"
CSMG3,"14,24","7,30","0,81","0,936","5,24%","0,426","6,94","4,27","-1,66","6,27","4,08","21,91%","12,83%","1,39","11,50%","11,15%","18.639.400,00","6.654.040.000,00","0,60","8,21%"
LOGG3,"26,40","7,31","0,81","18,056","4,52%","0,523","10,23","24,23","-2,58","33,75","33,50","74,53%","256,57%","1,52","2,27%","11,14%","14.406.100,00","3.311.570.000,00","0,38","11,77%"
TRPL3,"33,51","7,31","1,53","3,990","8,30%","0,762","8,77","5,59","-2,12","7,19","7,14","71,42%","54,89%","3,05","14,22%","20,96%","62.037,20","14.399.200.000,00","0,52","17,16%"
SHUL4,"8,31","7,43","1,76","0,929","2,24%","0,698","1,61","10,20","9,66","12,71","9,73","9,10%","12,50%","2,82","10,05%","23,64%","1.598.400,00","845.771.000,00","1,03","21,15%"
BBDC3,"16,79","7,44","1,11","0,000","5,34%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","14,92%","154.308.000,00","147.121.000.000,00","0,00","14,10%"
